uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:4R7PLL0O354kFf08r3rrH7,Colombian Salsa Top 100,En Barranquilla Me Quedo,"Greatest Salsa Classics Of Colombia, Vol. 2",2015-07-01,19,Joe Arroyo,spotify:artist:7BFnoFhJjLWcsqmN3Hizqg,1,-9.213,1,0.0552,0.172,0.000232,0.0895,0.784,103.899,312480,4
spotify:track:2DrYhmIX6McP1GXQnBazdO,Colombian Salsa Top 100,La Noche,Gold,2015-07-01,15,Joe Arroyo,spotify:artist:7BFnoFhJjLWcsqmN3Hizqg,0,-7.791,0,0.0431,0.291,0.024,0.0537,0.861,105.708,265027,4
spotify:track:0sSD65PgC6rvRx4XItDWYb,Colombian Salsa Top 100,Fuma el Barco,Historia Músical - 30 Éxitos,2015-07-01,18,The Latin Brothers,spotify:artist:2AiZXMqpVlCDnz3trZbWaK,7,-6.325,1,0.0496,0.0959,0,0.136,0.717,109.052,304093,4
spotify:track:0tICoFVAlyWQmelDmPrxYA,Colombian Salsa Top 100,Ni Como Amiga Ni Como Amante,Mis Favoritas,2010-08-02,42,Grupo Niche,spotify:artist:1zng9JZpblpk48IPceRWs8,9,-4.394,0,0.0377,0.671,2.63e-05,0.0563,0.8,95.624,291253,4
spotify:track:1ub1eIYLmCRBrM71QbRd4g,Colombian Salsa Top 100,Ban Ban,Echao Pa Lante,2015-07-01,32,Joe Arroyo,spotify:artist:7BFnoFhJjLWcsqmN3Hizqg,1,-2.508,1,0.041,0.506,0.000602,0.338,0.886,108.922,191480,4
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,Colombian Salsa Top 100,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,83,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,10,-5.892,0,0.0712,0.284,0,0.405,0.756,100.024,218093,4
spotify:track:4OfK9MAPV8MvRWMxxPpU1m,Colombian Salsa Top 100,Salsa & Choke (feat. Ñejo),El Mismo,2015-05-05,47,ChocQuibTown,spotify:artist:6tkyhGe9hGI3Lcfo4gVh6Z,9,-4.391,0,0.0528,0.261,0,0.08,0.91,93.996,248400,4
spotify:track:02aDZddAg670JfHsDmpoUY,Colombian Salsa Top 100,Del Puente Pa' Allá,Triunfo,1985,24,Grupo Niche,spotify:artist:1zng9JZpblpk48IPceRWs8,8,-6.083,1,0.0457,0.225,0.0714,0.0686,0.745,96.905,293273,4
spotify:track:50t1xD3jUUByyhInXWwN2G,Colombian Salsa Top 100,Aguanile,Mucho Mejor Boogaloo y Salsa,2015-07-01,18,Sonora Carruseles,spotify:artist:34qU0b0yRjEzRJtknerEDS,8,-4.233,1,0.0585,0.435,0.000793,0.0859,0.897,120.034,246160,4
spotify:track:2p0dxBc1BCgoNtIiBmd2c3,Colombian Salsa Top 100,Cuando Nos Volvamos a Encontrar - Versión Salsa,Cuando Nos Volvamos a Encontrar - Remixes,2014-07-21,38,Carlos Vives,spotify:artist:4vhNDa5ycK0ST968ek7kRr,1,-2.621,1,0.0314,0.241,9.94e-06,0.0965,0.923,102.046,282240,4
